Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Darko,Milicic",Min,23,24,24,109.5,0.492,0.499,8.3,1.8,6.3
"Dirk,Nowitzki",Dal,32,31,81,105.8,0.498,0.578,25,2.7,9.2
"Derrick,Rose",Chi,22,21,78,109.5,0.496,0.532,20.5,6,9.3
"Darius,Songaila",Nor,35,31,75,109.6,0.495,0.522,7.2,0.9,3.7
"DeShawn,Stevenson",Dal,24,28,24,110.6,0.35,0.38,2,0.5,1.8
"DeShawn,Stevenson",Was,24,28,40,113.1,0.335,0.382,2.2,1.1,3
"DaJuan,Summers",Det,32,28,44,114.2,0.412,0.457,3,0.4,1.5
"Dwyane,Wade",Mia,29,28,77,103.4,0.5,0.562,26.6,6.5,10.4
"David,West",Nor,19,29,81,110.4,0.508,0.56,19,3,9.3
"Delonte,West",Cle,22,26,60,104.8,0.474,0.53,8.8,3.3,6.1
"D.J.,White",Okc,24,23,12,102.4,0.61,0.65,4.9,0.3,1.7
"Damien,Wilkins",Min,23,30,80,111.4,0.457,0.515,5.6,1.7,4.7
"Deron,Williams",Uta,31,25,76,108.1,0.515,0.574,18.7,10.5,11.6
"Dorell,Wright",Mia,23,24,72,104.6,0.536,0.567,7.1,1.3,4.5
"Earl,Boykins",Was,24,33,67,114.6,0.451,0.499,6.6,2.6,3.6
"Elton,Brand",Phi,25,30,76,109.7,0.48,0.518,13.1,1.4,6.4
"Erick,Dampier",Dal,24,34,55,103.8,0.63,0.64,6,0.6,4.7
"Eric,Gordon",Lac,28,21,62,113.5,0.525,0.571,16.9,3,6.5
"Eddie,House",Nyk,29,31,18,113.9,0.387,0.416,6.4,2.1,4.6
"Eddie,House",Bos,29,31,50,107.1,0.5,0.527,7.2,1,2.9
"Ersan,Ilyasova",Mil,30,22,81,103.4,0.499,0.526,10.4,1,5.3
"Eric,Maynor",Uta,26,22,26,108.1,0.41,0.454,5.2,3.1,4
"Eric,Maynor",Okc,25,22,55,107.2,0.47,0.492,4.5,3.4,4.6
"Eduardo,Najera",Dal,21,33,33,106.3,0.543,0.555,3.3,0.4,2.4
"Eduardo,Najera",Njn,39,33,13,109.4,0.406,0.42,3.8,1.2,3.8
"Emeka,Okafor",Nor,21,27,82,107,0.531,0.548,10.4,0.7,5.7
"Etan,Thomas",Okc,26,31,23,104.8,0.456,0.483,3.3,0,0
"Earl,Watson",Ind,24,30,79,109.1,0.476,0.517,7.8,5.1,7.7
"Francisco,Garcia",Sac,26,29,25,112.3,0.531,0.55,8.1,1.8,4.7
"Fabricio,Oberto",Was,29,34,57,112,0.625,0.654,1.5,0.9,2.6
"Gilbert,Arenas",Was,32,28,32,111,0.462,0.511,22.6,7.2,10.3
"Glen,Davis",Bos,25,24,54,106.4,0.437,0.5,6.3,0.6,3.4
"Goran,Dragic",Pho,21,23,80,111.9,0.527,0.566,7.9,3,4.8
"Gerald,Henderson",Cha,22,22,43,102.5,0.375,0.453,2.6,0.3,1.5
"George,Hill",San,27,23,79,106.6,0.53,0.574,12.4,2.9,6.1
"Grant,Hill",Pho,23,37,80,110.3,0.5,0.558,11.2,2.4,7.3
